Carpool Site,Latitude,Longitude,City,Zip
Bloomfield Townsip Public Library,42.565266000000001,-83.281657899999999,Bloomfield Hills,48302
Bloomfield Hills High School,42.591026900000003,-83.266875999999996,Bloomfield Hills,48302
Troy High School,42.5879555,-83.179840799999994,Troy,48098
Birmingham Groves High School,42.5168842,-83.244989700000005,Beverly Hills,48025
Detroit Reniassance,42.418021899999999,-83.194908299999994,Detroit,48235
Berkley High School,42.495668000000002,-83.180513000000005,Berkley,48072
North Farmington High School,42.514565900000001,-83.3754797,Farmington Hills,48334
U of M Dearborn Campus,42.317151600000003,-83.2311105,Dearborn,48128
Pioneer High School,42.262278199999997,-83.753991600000006,Ann Arbor,48103
Grosse Pointe South High School,42.391095700000001,-82.902376000000004,Grosse Pointe,48236
Huron High School,42.281473200000001,-83.703689199999999,Ann Arbor,48105
Grosse Pointe North High School,42.4363545,-82.890643499999996,Grosse Pointe,48236
Andover High School,42.578948599999997,-83.285106999999996,Bloomfield Hills Township,48302
Cristo Rey High School,42.317160100000002,-83.1027117,Detroit,48209
